                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2848,                 0.8547,                 1.0746,                0.81832,                 0.7661,                0.83841,                0.56357,                 1.1086,                0.62552,                 1.0047,               0.008845,               0.008845,               0.008845
                     37,                 1.2812,                0.85007,                 1.0755,                0.83495,                0.76777,                0.84207,                0.56286,                 1.1256,                 0.6265,                 1.0056,               0.008812,               0.008812,               0.008812
                     38,                 1.2806,                 0.8497,                 1.0734,                0.82217,                0.77255,                0.83936,                0.56077,                 1.1399,                0.63021,                 1.0116,               0.008779,               0.008779,               0.008779
                     39,                 1.2738,                0.84932,                  1.073,                 0.8379,                0.77213,                0.84627,                0.57119,                 1.0958,                0.61348,                0.99818,               0.008746,               0.008746,               0.008746
                     40,                 1.2658,                0.83722,                  1.066,                0.82631,                0.76889,                 0.8434,                0.56755,                 1.1071,                0.61944,                0.99987,               0.008713,               0.008713,               0.008713
                     41,                 1.2704,                0.84611,                 1.0721,                0.83142,                0.77049,                0.84683,                 0.5678,                  1.106,                0.61596,                  1.002,                0.00868,                0.00868,                0.00868
                     42,                 1.2611,                0.83516,                 1.0687,                0.82737,                0.77832,                0.84756,                0.56923,                 1.0992,                0.61092,                 1.0001,               0.008647,               0.008647,               0.008647
                     43,                 1.2663,                0.83685,                 1.0697,                0.84268,                0.76376,                0.85077,                0.57523,                 1.0932,                0.60691,                0.99964,               0.008614,               0.008614,               0.008614
                     44,                 1.2643,                0.83517,                 1.0701,                0.82766,                0.78156,                0.84994,                0.57368,                 1.1054,                0.60816,                  1.002,               0.008581,               0.008581,               0.008581
                     45,                 1.2615,                0.83799,                 1.0676,                 0.8562,                0.76421,                0.85449,                0.57945,                 1.0839,                0.60057,                 0.9973,               0.008548,               0.008548,               0.008548
                     46,                 1.2573,                0.83097,                 1.0673,                0.83641,                0.77874,                0.85287,                0.57915,                 1.0864,                0.60354,                0.99779,               0.008515,               0.008515,               0.008515
                     47,                 1.2536,                0.83017,                 1.0665,                 0.8326,                0.78549,                0.85597,                0.58277,                 1.0772,                0.59792,                 0.9953,               0.008482,               0.008482,               0.008482
                     48,                 1.2613,                0.83385,                 1.0684,                0.83604,                0.78599,                0.85552,                0.58366,                 1.0707,                0.59708,                0.99296,               0.008449,               0.008449,               0.008449
                     49,                 1.2638,                0.83881,                 1.0708,                 0.8217,                0.79397,                 0.8556,                0.58519,                 1.0628,                 0.5953,                0.99252,               0.008416,               0.008416,               0.008416
                     50,                 1.2435,                0.82111,                 1.0615,                0.84507,                0.76877,                0.85302,                 0.5854,                 1.0636,                0.59496,                0.99093,               0.008383,               0.008383,               0.008383
                     51,                 1.2537,                0.82235,                  1.067,                0.84125,                0.77466,                0.85304,                0.58572,                  1.064,                0.59319,                0.99068,                0.00835,                0.00835,                0.00835
                     52,                 1.2461,                0.81827,                  1.064,                0.82869,                0.78345,                0.85392,                0.58332,                  1.079,                0.59473,                0.99502,               0.008317,               0.008317,               0.008317
                     53,                 1.2496,                0.81887,                 1.0631,                0.84079,                0.77687,                0.85455,                0.58306,                 1.0869,                0.59559,                0.99633,               0.008284,               0.008284,               0.008284
                     54,                 1.2443,                0.81312,                 1.0616,                0.84824,                0.77583,                0.85718,                 0.5847,                 1.0835,                0.59256,                0.99501,               0.008251,               0.008251,               0.008251
                     55,                 1.2443,                0.81805,                 1.0612,                0.85286,                0.77484,                0.85818,                 0.5881,                 1.0707,                0.58987,                0.99091,               0.008218,               0.008218,               0.008218
                     56,                 1.2416,                0.81653,                 1.0588,                 0.8495,                0.77749,                0.85784,                 0.5902,                 1.0646,                0.58959,                0.98954,               0.008185,               0.008185,               0.008185
                     57,                 1.2336,                 0.8075,                 1.0589,                0.84564,                0.77537,                 0.8581,                0.59149,                 1.0618,                 0.5867,                0.98948,               0.008152,               0.008152,               0.008152
