epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2987.79,1.40595,0.96309,1.11122,0.83192,0.74752,0.82737,0.48229,1.38108,0.83592,1.07314,0.0005941,0.0005941,0.0005941
43,3053.1,1.42788,0.96119,1.11451,0.80463,0.73776,0.81257,0.46596,1.43335,0.87413,1.08674,0.0005842,0.0005842,0.0005842
44,3120.82,1.41059,0.96239,1.10424,0.83769,0.75621,0.83157,0.49698,1.36372,0.83909,1.06152,0.0005743,0.0005743,0.0005743
45,3185.93,1.42113,0.96184,1.10515,0.8112,0.7487,0.82036,0.48928,1.35857,0.82487,1.059,0.0005644,0.0005644,0.0005644
46,3249.98,1.41842,0.95943,1.11487,0.82106,0.74747,0.82428,0.4875,1.36189,0.83064,1.06158,0.0005545,0.0005545,0.0005545
47,3317.23,1.4024,0.93969,1.10416,0.84192,0.75346,0.83562,0.49716,1.35884,0.81854,1.05927,0.0005446,0.0005446,0.0005446
48,3381.12,1.39838,0.92633,1.09533,0.82702,0.75936,0.83419,0.48789,1.38718,0.80851,1.06966,0.0005347,0.0005347,0.0005347
49,3445.67,1.40698,0.94956,1.104,0.81576,0.75427,0.82895,0.49107,1.37232,0.8211,1.06325,0.0005248,0.0005248,0.0005248
50,3510.49,1.39947,0.94342,1.10383,0.81955,0.7546,0.82875,0.48799,1.4048,0.82185,1.06889,0.0005149,0.0005149,0.0005149
51,3576.42,1.39263,0.92653,1.10015,0.80656,0.76417,0.8255,0.49088,1.36835,0.82553,1.06114,0.000505,0.000505,0.000505
52,3641.92,1.396,0.91636,1.09415,0.79598,0.77356,0.83402,0.49562,1.36209,0.82091,1.0581,0.0004951,0.0004951,0.0004951
53,3708.32,1.38644,0.92346,1.09581,0.81421,0.76647,0.82673,0.48932,1.34302,0.84549,1.05278,0.0004852,0.0004852,0.0004852
54,3774.17,1.37866,0.91587,1.09349,0.83295,0.75914,0.83535,0.49964,1.33012,0.7951,1.0499,0.0004753,0.0004753,0.0004753
55,3851.45,1.38175,0.91172,1.09406,0.84434,0.74566,0.83633,0.50081,1.35501,0.78986,1.05591,0.0004654,0.0004654,0.0004654
56,3918.56,1.37413,0.89324,1.08219,0.82222,0.77663,0.84132,0.50608,1.32577,0.76099,1.04473,0.0004555,0.0004555,0.0004555
57,3983.8,1.38153,0.90777,1.08793,0.84304,0.77351,0.84883,0.51631,1.32177,0.76655,1.03855,0.0004456,0.0004456,0.0004456
58,4049.51,1.36841,0.89507,1.09116,0.8387,0.77055,0.85425,0.5104,1.35426,0.77089,1.0547,0.0004357,0.0004357,0.0004357
59,4114.51,1.38013,0.89893,1.08882,0.83581,0.78526,0.85759,0.52377,1.32823,0.77847,1.04151,0.0004258,0.0004258,0.0004258
60,4183.92,1.36769,0.9006,1.09088,0.82846,0.78681,0.85176,0.51743,1.31055,0.78582,1.0373,0.0004159,0.0004159,0.0004159
61,4248.96,1.36389,0.89753,1.08876,0.83794,0.78049,0.84687,0.51478,1.30947,0.76987,1.03722,0.000406,0.000406,0.000406
62,4313.99,1.36333,0.87997,1.0796,0.84612,0.78453,0.85973,0.52023,1.32861,0.75742,1.04194,0.0003961,0.0003961,0.0003961
63,4382.38,1.36397,0.87343,1.08742,0.83632,0.79379,0.8643,0.52141,1.33122,0.76008,1.04297,0.0003862,0.0003862,0.0003862
64,4447.26,1.3672,0.8829,1.08136,0.85455,0.78894,0.86338,0.53405,1.30395,0.74558,1.02851,0.0003763,0.0003763,0.0003763
65,4512.67,1.36351,0.86599,1.08676,0.85686,0.79365,0.87097,0.53908,1.30849,0.73847,1.03494,0.0003664,0.0003664,0.0003664
66,4576.88,1.34734,0.87097,1.07407,0.83339,0.80016,0.86761,0.5332,1.29274,0.7343,1.02521,0.0003565,0.0003565,0.0003565
67,4642.47,1.35556,0.86784,1.07986,0.84683,0.79778,0.86778,0.53623,1.28816,0.74452,1.02936,0.0003466,0.0003466,0.0003466
68,4706.29,1.3462,0.86157,1.08121,0.84836,0.80016,0.86662,0.53199,1.29853,0.74018,1.02944,0.0003367,0.0003367,0.0003367
69,4771.01,1.34472,0.84997,1.07436,0.84421,0.79462,0.86767,0.54076,1.30099,0.72309,1.02603,0.0003268,0.0003268,0.0003268
70,4837.33,1.33398,0.84185,1.07667,0.84494,0.8003,0.86537,0.53464,1.28887,0.73627,1.02369,0.0003169,0.0003169,0.0003169
71,4902.77,1.33976,0.84139,1.07284,0.85648,0.80449,0.88064,0.55006,1.27285,0.72015,1.02173,0.000307,0.000307,0.000307
72,4966.73,1.32871,0.83213,1.06827,0.84633,0.81135,0.87356,0.54365,1.28481,0.71511,1.022,0.0002971,0.0002971,0.0002971
73,5029.93,1.33325,0.8386,1.06752,0.84673,0.80681,0.88074,0.55676,1.27393,0.71101,1.01605,0.0002872,0.0002872,0.0002872
74,5094.87,1.31432,0.81655,1.0686,0.84901,0.80734,0.88104,0.55304,1.27309,0.70808,1.01926,0.0002773,0.0002773,0.0002773
75,5161.22,1.32093,0.8185,1.05845,0.85167,0.81435,0.88427,0.54738,1.26286,0.70196,1.01725,0.0002674,0.0002674,0.0002674
76,5226.07,1.31748,0.82005,1.06557,0.86077,0.80852,0.88358,0.55408,1.27575,0.69905,1.02124,0.0002575,0.0002575,0.0002575
77,5290.09,1.32103,0.80822,1.06272,0.86593,0.82356,0.8933,0.56465,1.25545,0.68879,1.01151,0.0002476,0.0002476,0.0002476
78,5355.61,1.32189,0.81607,1.06312,0.86052,0.81965,0.88976,0.5573,1.27748,0.68783,1.01668,0.0002377,0.0002377,0.0002377
79,5421.1,1.31319,0.80688,1.06734,0.86676,0.81736,0.8942,0.56813,1.25209,0.67972,1.00898,0.0002278,0.0002278,0.0002278
80,5486.81,1.31256,0.8149,1.06484,0.87561,0.82862,0.89688,0.56899,1.2479,0.67641,1.00791,0.0002179,0.0002179,0.0002179
81,5551.57,1.30039,0.79679,1.05699,0.87619,0.83381,0.90014,0.57333,1.24622,0.67018,1.00705,0.000208,0.000208,0.000208
82,5618.29,1.30039,0.792,1.05684,0.86981,0.82061,0.89656,0.56767,1.25195,0.67697,1.00937,0.0001981,0.0001981,0.0001981
83,5683.25,1.29642,0.79498,1.05516,0.87256,0.82957,0.90344,0.57684,1.23028,0.66122,1.00235,0.0001882,0.0001882,0.0001882
84,5748.21,1.29776,0.7878,1.05135,0.88012,0.82648,0.90453,0.58267,1.22424,0.65744,0.99966,0.0001783,0.0001783,0.0001783
85,5814.83,1.28724,0.77869,1.05024,0.86532,0.83952,0.9044,0.58267,1.21892,0.65393,0.99821,0.0001684,0.0001684,0.0001684
86,5878.84,1.29152,0.78049,1.05161,0.86531,0.84399,0.90734,0.57838,1.23556,0.6654,1.00083,0.0001585,0.0001585,0.0001585
87,5942.8,1.28515,0.77967,1.0422,0.8834,0.83695,0.90936,0.58802,1.21539,0.6472,0.99561,0.0001486,0.0001486,0.0001486
88,6008.99,1.28394,0.77206,1.0501,0.87352,0.84085,0.90682,0.58956,1.2238,0.64484,0.99718,0.0001387,0.0001387,0.0001387
89,6075.51,1.27388,0.76234,1.04506,0.88429,0.8426,0.91265,0.59263,1.20914,0.63615,0.99346,0.0001288,0.0001288,0.0001288
90,6141.71,1.27422,0.75173,1.04135,0.88538,0.83818,0.91294,0.59004,1.20755,0.63596,0.99159,0.0001189,0.0001189,0.0001189
91,6230.56,1.26636,0.74566,1.05198,0.8803,0.82223,0.89911,0.5757,1.22655,0.64482,0.9996,0.000109,0.000109,0.000109
92,6294.33,1.25628,0.72387,1.05033,0.88137,0.82866,0.90071,0.57776,1.21755,0.6418,0.99729,9.91e-05,9.91e-05,9.91e-05
93,6358.24,1.24916,0.71547,1.04448,0.87664,0.82909,0.90158,0.5807,1.21899,0.63955,0.99596,8.92e-05,8.92e-05,8.92e-05
94,6423.44,1.23747,0.69776,1.04097,0.88631,0.82298,0.90513,0.58259,1.22001,0.63184,0.99608,7.93e-05,7.93e-05,7.93e-05
95,6487.74,1.22786,0.70214,1.04179,0.87695,0.83899,0.9107,0.58817,1.20981,0.62639,0.99335,6.94e-05,6.94e-05,6.94e-05
96,6552.24,1.2241,0.68967,1.03443,0.87611,0.841,0.90524,0.58686,1.20529,0.62402,0.99026,5.95e-05,5.95e-05,5.95e-05
97,6617.32,1.22056,0.69201,1.03502,0.8825,0.83916,0.90881,0.59136,1.19847,0.61777,0.98953,4.96e-05,4.96e-05,4.96e-05
98,6681.81,1.21541,0.6798,1.03159,0.8885,0.83754,0.91111,0.59113,1.20106,0.61742,0.99009,3.97e-05,3.97e-05,3.97e-05
99,6744.44,1.21922,0.67734,1.03486,0.89057,0.84624,0.91676,0.59971,1.19321,0.6105,0.98635,2.98e-05,2.98e-05,2.98e-05
100,6811,1.21238,0.67614,1.02476,0.88585,0.84729,0.91408,0.59673,1.19138,0.60946,0.98604,1.99e-05,1.99e-05,1.99e-05
